team,abbreviation,league,city,state,color1,color2,logo
Florida Panthers,FLA,NHL,Miami,FL,#041E42,#C8102E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/fla.png
LA Kings,LA,NHL,Los Angeles,CA,#111111,#A2AAAD,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/la.png
Minnesota Wild,MIN,NHL,Saint Paul,MN,#A6192E,#154734,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/min.png
Montreal Canadiens,MTL,NHL,Montreal,QC,#AF1E2D,#192168,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/mtl.png
Nashville Predators,NSH,NHL,Nashville,TN,#FFB81C,#041E42,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/nsh.png
New Jersey Devils,NJ,NHL,Newark,NJ,#CE1126,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/nj.png
NY Islanders,NYI,NHL,New York,NY,#00539B,#F47D30,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/nyi.png
NY Rangers,NYR,NHL,New York,NY,#0038A8,#CE1126,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/nyr.png
Ottawa Senators,OTT,NHL,Ottawa,ON,#E31837,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/ott.png
Philadelphia Flyers,PHI,NHL,Philadelphia,PA,#F74902,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/phi.png
Arizona Coyotes,ARI,NHL,Phoenix,AZ,#8C2633,#E2D6B5,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/ari.png
Pittsburgh Penguins,PIT,NHL,Pittsburgh,PA,#FCB514,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/pit.png
San Jose Sharks,SJ,NHL,San Jose,CA,#006D75,#000000,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/sj.png
St. Louis Blues,STL,NHL,St. Louis,MO,#002F87,#FCB514,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/stl.png
Tampa Bay Lightning,TB,NHL,Tampa,FL,#002868,#FFFFFF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/tb.png
Toronto Maple Leafs,TOR,NHL,Toronto,ON,#003E7E,#FFFFFF,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/tor.png
Vancouver Canucks,VAN,NHL,Vancouver,BC,#001F5B,#00843D,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/van.png
Washington Capitals,WSH,NHL,Washington,DC,#041E42,#C8102E,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/wsh.png
Winnipeg Jets,WPG,NHL,Winnipeg,MB,#041E42,#004C97,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/wpg.png
Vegas Golden Knights,VGS,NHL,Las Vegas,NV,#B4975A,#333F42,https://raw.githubusercontent.com/the-dataface/building-blocks/master/helpers/assets/img/logos/NHL/vgs.png
